2015-03-30#6:55 AM#51#68#1#9506.21
2015-03-30#7:39 PM#99#86#5#4107.59
2015-03-30#11:57 AM#79#58#7#2987.22
2015-03-30#12:46 AM#51#50#6#7501.89
2015-03-30#11:39 AM#86#24#5#8370.2
2015-03-30#10:35 AM#63#19#5#1023.57
2015-03-30#2:30 AM#23#77#7#5892.41
2015-03-30#7:41 PM#49#58#4#9298.18
2015-03-30#9:18 AM#97#86#8#9462.89
2015-03-30#10:06 PM#94#26#4#4199.15
2015-03-30#10:57 AM#91#18#1#3795.73
2015-03-30#7:43 AM#20#86#10#1477.35
2015-03-30#5:58 PM#38#39#6#1090.0
2015-03-30#1:08 PM#46#6#10#1014.78
2015-03-30#12:18 AM#56#48#9#8346.42
2015-03-30#1:18 AM#11#58#4#364.59
2015-03-30#3:01 AM#59#9#5#5984.68
2015-03-30#11:44 AM#8#35#6#1859.2
2015-03-30#12:05 PM#23#8#3#1527.04
2015-03-30#4:10 AM#85#93#9#3314.71
2015-03-30#12:11 PM#27#1#7#9857.41
2015-03-30#2:20 AM#84#55#5#1312.06
2015-03-30#9:38 PM#54#78#1#6138.63
2015-03-30#8:50 AM#74#9#4#8758.02
2015-03-30#5:01 PM#6#90#1#3166.15
2015-03-30#9:40 PM#35#64#6#9068.33
2015-03-30#11:01 AM#35#99#3#4972.62
2015-03-30#6:14 PM#99#55#6#5038.44
2015-03-30#1:25 PM#39#28#8#4785.8
2015-03-30#3:01 PM#47#4#2#5601.72
2015-03-30#12:07 PM#17#32#9#8434.4
2015-03-30#3:58 PM#11#44#6#2608.14
2015-03-30#11:12 PM#40#93#9#2053.52
2015-03-30#11:13 AM#46#39#8#1263.4
2015-03-30#11:10 PM#57#90#4#6375.67
2015-03-30#2:47 PM#80#83#4#5548.41
2015-03-30#5:44 AM#87#88#7#8343.15
2015-03-30#11:43 AM#52#37#10#2786.88
2015-03-30#5:24 PM#30#82#9#1329.41
2015-03-30#11:28 AM#62#2#1#1010.87
2015-03-30#7:06 PM#6#47#10#1001.67
2015-03-30#10:18 AM#51#44#4#5231.69
2015-03-30#10:55 AM#41#62#4#8567.0
2015-03-30#9:09 PM#71#96#9#5402.91
2015-03-30#10:27 AM#61#47#9#1888.78
2015-03-30#6:50 AM#95#88#3#9834.36
2015-03-30#7:29 AM#52#69#1#7425.72
2015-03-30#9:17 AM#99#32#10#3847.24
2015-03-30#3:41 AM#5#26#7#3210.67
2015-03-30#4:39 AM#94#49#3#7948.35
2015-03-30#7:45 PM#2#5#3#3791.08
2015-03-30#7:56 AM#95#42#7#4451.57
2015-03-30#8:57 AM#78#97#1#8446.82
2015-03-30#3:14 AM#13#79#7#2860.76
2015-03-30#2:13 AM#23#80#4#420.51
2015-03-30#4:14 AM#4#16#8#3867.41
2015-03-30#4:07 AM#38#41#6#9090.9
2015-03-30#11:07 PM#100#61#9#1257.63
2015-03-30#6:51 AM#86#19#4#3524.13
2015-03-30#5:43 AM#19#26#4#5366.52
2015-03-30#8:15 PM#98#55#2#2387.1
2015-03-30#6:18 AM#53#42#5#2197.85
2015-03-30#8:12 PM#89#10#8#9637.96
2015-03-30#9:14 PM#15#13#6#7855.12
2015-03-30#1:51 AM#74#23#1#6556.05
2015-03-30#7:16 AM#17#47#4#2578.17
2015-03-30#11:16 PM#45#47#8#4828.64
2015-03-30#8:11 AM#61#75#5#3331.73
2015-03-30#5:36 AM#99#62#10#5446.1
2015-03-30#5:54 PM#12#62#4#2390.77
2015-03-30#12:07 PM#79#7#10#8383.41
2015-03-30#3:33 AM#54#57#8#2787.87
2015-03-30#8:32 PM#15#24#8#5375.89
2015-03-30#3:23 AM#32#94#5#3007.07
2015-03-30#9:50 AM#11#22#9#8528.74
2015-03-30#11:02 PM#32#19#7#2441.15
2015-03-30#4:55 PM#16#97#8#2876.79
2015-03-30#12:42 PM#4#86#4#5923.96
2015-03-30#2:42 PM#8#93#3#66.89
2015-03-30#6:57 PM#1#45#3#3624.34
2015-03-30#8:58 PM#72#13#3#4261.22
2015-03-30#4:30 PM#2#49#7#2162.59
2015-03-30#1:30 AM#14#38#9#4084.27
2015-03-30#1:16 PM#7#2#3#2363.63
2015-03-30#7:00 AM#99#10#2#5543.06
2015-03-30#1:33 AM#28#76#7#2031.49
2015-03-30#11:50 PM#47#75#6#7657.7
2015-03-30#10:12 AM#43#92#4#4702.55
2015-03-30#8:28 PM#14#55#7#211.22
2015-03-30#8:11 AM#63#68#1#1162.35
2015-03-30#6:36 PM#19#58#4#5133.4
2015-03-30#9:16 AM#93#80#4#9153.86
2015-03-30#6:23 AM#87#4#10#5704.61
2015-03-30#12:33 AM#11#69#1#4476.9
2015-03-30#5:32 PM#1#19#7#8563.75
2015-03-30#7:39 AM#51#77#3#4937.79
2015-03-30#8:10 AM#15#16#6#9310.25
2015-03-30#1:52 PM#61#87#8#6831.78
2015-03-30#9:51 AM#49#10#5#4998.03
2015-03-30#1:28 AM#70#14#6#7673.95
2015-03-30#1:43 AM#73#76#1#1190.39
2015-03-30#7:43 AM#28#18#1#3297.21
2015-03-30#7:18 PM#43#46#3#2372.12
2015-03-30#5:14 PM#54#51#2#8995.15
2015-03-30#2:10 PM#1#39#3#6141.22
2015-03-30#5:13 AM#65#39#4#912.73
2015-03-30#1:35 AM#50#86#4#6270.51
2015-03-30#5:47 PM#51#1#8#9086.1
2015-03-30#8:58 AM#95#86#10#8783.12
2015-03-30#3:16 AM#95#90#6#5589.91
2015-03-30#5:04 PM#2#64#9#9355.95
2015-03-30#4:03 PM#3#57#3#4394.77
2015-03-30#1:56 AM#56#28#5#2387.26
2015-03-30#1:45 PM#84#10#6#6324.28
2015-03-30#9:19 AM#69#77#3#3547.27
2015-03-30#11:07 AM#80#89#10#5955.1
2015-03-30#1:21 PM#91#99#2#2392.94
2015-03-30#2:46 PM#91#8#6#4607.49
2015-03-30#5:59 PM#5#84#3#3094.89
2015-03-30#9:57 AM#16#97#2#6441.37
2015-03-30#4:59 AM#60#53#2#4173.56
2015-03-30#3:40 PM#76#12#5#8706.91
2015-03-30#2:02 PM#45#13#7#8554.36
2015-03-30#8:09 AM#32#17#5#5605.91
2015-03-30#8:16 PM#61#23#10#7826.6
2015-03-30#7:28 AM#20#29#6#9463.01
2015-03-30#11:07 AM#100#10#1#9101.62
2015-03-30#8:10 PM#49#48#3#3616.24
2015-03-30#11:19 PM#66#38#7#4473.04
2015-03-30#12:21 AM#23#6#7#5605.56
2015-03-30#11:01 AM#90#34#5#2913.1
2015-03-30#11:40 AM#10#1#4#8239.9
2015-03-30#12:11 PM#89#85#6#6556.14
2015-03-30#7:24 AM#34#34#4#8850.97
2015-03-30#4:31 PM#83#28#1#3902.99
2015-03-30#3:12 AM#100#65#10#5460.39
2015-03-30#7:24 PM#19#6#5#9015.85
2015-03-30#2:40 AM#4#19#7#4086.85
2015-03-30#7:18 PM#63#52#5#8316.29
2015-03-30#3:54 PM#64#28#6#4524.87
2015-03-30#12:28 AM#94#58#5#5426.9
2015-03-30#8:23 PM#62#33#3#8954.4
2015-03-30#4:54 PM#7#75#1#6304.82
2015-03-30#7:45 AM#47#50#7#1840.24
2015-03-30#3:59 AM#78#6#4#7601.19
2015-03-30#10:47 AM#84#14#1#7211.03
2015-03-30#9:40 PM#18#32#9#1380.76
2015-03-30#1:58 PM#57#17#2#1638.87
2015-03-30#11:48 PM#56#62#7#9248.15
2015-03-30#7:06 AM#32#18#4#7255.31
2015-03-30#5:52 AM#51#58#4#2193.75
2015-03-30#6:35 PM#69#15#10#3201.11
2015-03-30#9:00 PM#81#44#1#423.97
2015-03-30#7:49 AM#23#100#5#2268.51
2015-03-30#10:32 PM#56#67#3#5722.95
2015-03-30#7:08 PM#19#22#7#5540.66
2015-03-30#12:21 AM#3#86#8#8396.28
2015-03-30#4:03 AM#70#6#10#2818.82
2015-03-30#11:45 AM#50#38#6#4073.05
2015-03-30#5:41 PM#63#1#3#3043.08
2015-03-30#5:10 PM#34#99#6#6552.43
2015-03-30#12:43 AM#71#86#6#3063.14
2015-03-30#8:06 PM#44#52#10#2745.9
2015-03-30#9:57 AM#21#44#6#1346.45
2015-03-30#1:59 PM#81#6#8#1223.71
2015-03-30#8:14 PM#5#30#7#2049.61
2015-03-30#9:27 AM#23#56#4#7737.78
2015-03-30#3:56 PM#34#66#5#4418.17
2015-03-30#9:38 AM#88#41#2#796.94
2015-03-30#6:38 PM#58#69#7#7254.11
