1~1155~1451~2013-12-12 08:03:29.203~1147
1~1238~1495~2013-12-15 18:09:50.82~1283
1~1193~1539~2013-12-24 14:59:32.69~1579
1~1644~1660~2014-02-02 18:36:01.653~2112
1~1580~1674~2014-02-04 22:51:55.387~2146
3~1580~1674~2014-02-04 23:46:20.563~2148
1~1704~1705~2014-02-19 13:43:57.22~2314
1~15~1718~2014-02-24 19:53:54.173~2375
1~1930~1935~2014-04-26 10:37:35.897~3368
1~122~1141~2013-11-09 21:15:11.047~116
1~65~1238~2013-11-12 20:38:05.97~314
1~1398~1405~2013-11-27 12:04:44.213~787
1~1446~1451~2013-12-07 20:30:13.003~936
1~1192~2121~2014-07-24 12:18:40.47~6482
3~1192~2121~2014-07-24 17:37:07.42~6492
1~1141~2125~2014-07-25 08:11:32.333~6502
1~1142~2136~2014-07-29 09:21:31.873~6610
1~2169~2175~2014-08-13 00:55:55.037~6931
1~1192~2250~2014-08-19 05:41:37.807~7695
1~2121~2250~2014-08-19 05:41:37.807~7696
3~1192~2250~2014-08-19 11:59:34.633~7698
1~2176~2255~2014-08-20 06:40:31.25~7743
1~2250~2255~2014-08-20 06:40:31.25~7744
1~1580~2273~2014-08-25 02:35:33.37~7891
3~1580~2273~2014-08-25 09:00:00.177~7905
1~2024~2289~2014-08-31 08:29:15.437~8071
1~2293~2296~2014-09-02 08:34:12.517~8146
1~2296~2293~2014-09-02 08:35:17.5~8147
1~2319~2322~2014-09-07 10:44:10.01~8340
1~1875~2055~2014-07-09 09:29:50.41~5182
1~1880~2065~2014-07-12 01:03:02.77~6207
1~2088~2086~2014-07-17 19:54:27.837~6327
1~2093~2100~2014-07-21 12:43:57.703~6364
